Address,Register,Cont_Name,Reset_Value,Start_Bit,Length
0x00,ID,RESERVED,0x2,15,4
0x00,ID,CHANCNT,0x4,11,4
0x00,ID,RESERVED,0xXX,7,8
0x01,STATUS,RO_LOCK,0b0,15,1
0x01,STATUS,RO_F_RESYNC,0b0,14,1
0x01,STATUS,RO_REG_MAP,0b0,13,1
0x01,STATUS,RO_CRC_ERR,0b0,12,1
0x01,STATUS,RO_CRC_TYPE,0b0,11,1
0x01,STATUS,RO_RESET,0b1,10,1
0x01,STATUS,RO_WLENGTH,0b01,9,2
0x01,STATUS,RESERVED,0b0000,7,4
0x01,STATUS,DO_DRDY3,0b0,3,1
0x01,STATUS,DO_DRDY2,0b0,2,1
0x01,STATUS,RO_DRDY1,0b0,1,1
0x01,STATUS,RO_DRDY0,0b0,0,1
0x02,MODE,RESERVED,0b00,15,2
0x02,MODE,REGCRC_EN,0b0,13,1
0x02,MODE,RX_CRC_EN,0b0,12,1
0x02,MODE,CRC_TYPE,0b0,11,1
0x02,MODE,RESET,0b1,10,1
0x02,MODE,WLENGTH,0b01,9,2
0x02,MODE,RESERVED,0b000,7,3
0x02,MODE,TIMEOUT,0b1,4,1
0x02,MODE,DRDY_SEL,0b00,3,2
0x02,MODE,DRDY_HIZ,0b0,1,1
0x02,MODE,DRDY_FMT,0b0,0,1
0x03,CLOCK,RESERVED,0x0,15,4
0x03,CLOCK,CH3_EN,0b1,11,1
0x03,CLOCK,CH2_EN,0b1,10,1
0x03,CLOCK,CH1_EN,0b1,9,1
0x03,CLOCK,CH0_EN,0b1,8,1
0x03,CLOCK,RESERVED,0b000,7,3
0x03,CLOCK,OSR,0b011,4,3
0x03,CLOCK,PWR,0b10,1,2
0x04,GAIN1,RESERVED,0b0,15,1
0x04,GAIN1,PGAGAIN3,0b000,14,3
0x04,GAIN1,RESERVED,0b0,11,1
0x04,GAIN1,PGAGAIN2,0b000,10,3
0x04,GAIN1,RESERVED,0b0,7,1
0x04,GAIN1,PGAGAIN1,0b000,6,3
0x04,GAIN1,RESERVED,0b0,3,1
0x04,GAIN1,PGAGAIN0,0b000,2,3
0x05,RESERVED,RESERVED,0xXXXX,15,16
0x06,CFG,RESERVED,0b000,15,3
0x06,CFG,GC_DLY,0b0011,12,4
0x06,CFG,GC_EN,0b0,8,1
0x06,CFG,CD_ALLCH,0b0,7,1
0x06,CFG,CD_NUM,0b000,6,3
0x06,CFG,CD_LEN,0b000,3,3
0x06,CFG,CD_EN,0b0,0,1
0x07,THRSHLD_MSB,CD_TH_MSB,0x0000,15,16
0x08,THRSHLD_LSB,CD_TH_LSB,0x00,15,8
0x08,THRSHLD_LSB,RESERVED,0x00,7,8
0x09,CH0_CHG,PHASE0,0b0000000000,15,10
0x09,CH0_CHG,RESERVED,0b000,5,3
0x09,CH0_CHG,DCBLK0_DIS0,0b0,2,1
0x09,CH0_CHG,MUX0,0b00,1,2
0x0A,CH0_OCAL_MSB,OCAL0_MSB,0x0000,15,16
0x0B,CH0_OCAL_LSB,OCAL0_LSB,0x00,15,8
0x0B,CH0_OCAL_LSB,RESERVED,0x00,7,8
0x0C,CH0_GCAL_MSB,GCAL0_MSB,0x8000,15,16
0x0D,CH0_GCAL_LSB,GCAL0_LSB,0x00,15,8
0x0D,CH0_GCAL_LSB,RESERVED,0x00,7,8
0x0E,CH1_CHG,PHASE1,0b0000000000,15,10
0x0E,CH1_CHG,RESERVED,0b000,5,3
0x0E,CH1_CHG,DCBLK1_DIS0,0b0,2,1
0x0E,CH1_CHG,MUX1,0b00,1,2
0x0F,CH1_OCAL_MSB,OCAL1_MSB,0x0000,15,16
0x10,CH1_OCAL_LSB,OCAL1_LSB,0x00,15,8
0x10,CH1_OCAL_LSB,RESERVED,0x00,7,8
0x11,CH1_GCAL_MSB,GCAL1_MSB,0x8000,15,16
0x12,CH1_GCAL_LSB,GCAL1_LSB,0x00,15,8
0x12,CH1_GCAL_LSB,RESERVED,0x00,7,8
0x13,CH2_CHG,PHASE2,0b0000000000,15,10
0x13,CH2_CHG,RESERVED,0b000,5,3
0x13,CH2_CHG,DCBLK2_DIS0,0b0,2,1
0x13,CH2_CHG,MUX2,0b00,1,2
0x14,CH2_OCAL_MSB,OCAL2_MSB,0x0000,15,16
0x15,CH2_OCAL_LSB,OCAL2_LSB,0x00,15,8
0x15,CH2_OCAL_LSB,RESERVED,0x00,7,8
0x16,CH2_GCAL_MSB,GCAL2_MSB,0x8000,15,16
0x17,CH2_GCAL_LSB,GCAL2_LSB,0x00,15,8
0x17,CH2_GCAL_LSB,RESERVED,0x00,7,8
0x18,CH3_CHG,PHASE3,0b0000000000,15,10
0x18,CH3_CHG,RESERVED,0b000,5,3
0x18,CH3_CHG,DCBLK3_DIS0,0b0,2,1
0x18,CH3_CHG,MUX3,0b00,1,2
0x19,CH3_OCAL_MSB,OCAL3_MSB,0x0000,15,16
0x1A,CH3_OCAL_LSB,OCAL3_LSB,0x00,15,8
0x1A,CH3_OCAL_LSB,RESERVED,0x00,7,8
0x1B,CH3_GCAL_MSB,GCAL3_MSB,0x8000,15,16
0x1C,CH3_GCAL_LSB,GCAL3_LSB,0x00,15,8
0x1C,CH3_GCAL_LSB,RESERVED,0x00,7,8
0x1D,RESERVED,RESERVED,0xXXXX,15,16
0x1E,RESERVED,RESERVED,0xXXXX,15,16
0x1F,RESERVED,RESERVED,0xXXXX,15,16
0x20,RESERVED,RESERVED,0xXXXX,15,16
0x21,RESERVED,RESERVED,0xXXXX,15,16
0x22,RESERVED,RESERVED,0xXXXX,15,16
0x23,RESERVED,RESERVED,0xXXXX,15,16
0x24,RESERVED,RESERVED,0xXXXX,15,16
0x25,RESERVED,RESERVED,0xXXXX,15,16
0x26,RESERVED,RESERVED,0xXXXX,15,16
0x27,RESERVED,RESERVED,0xXXXX,15,16
0x28,RESERVED,RESERVED,0xXXXX,15,16
0x29,RESERVED,RESERVED,0xXXXX,15,16
0x2A,RESERVED,RESERVED,0xXXXX,15,16
0x2B,RESERVED,RESERVED,0xXXXX,15,16
0x2C,RESERVED,RESERVED,0xXXXX,15,16
0x2D,RESERVED,RESERVED,0xXXXX,15,16
0x2E,RESERVED,RESERVED,0xXXXX,15,16
0x2F,RESERVED,RESERVED,0xXXXX,15,16
0x30,RESERVED,RESERVED,0xXXXX,15,16
0x31,RESERVED,RESERVED,0xXXXX,15,16
0x32,RESERVED,RESERVED,0xXXXX,15,16
0x33,RESERVED,RESERVED,0xXXXX,15,16
0x34,RESERVED,RESERVED,0xXXXX,15,16
0x35,RESERVED,RESERVED,0xXXXX,15,16
0x36,RESERVED,RESERVED,0xXXXX,15,16
0x37,RESERVED,RESERVED,0xXXXX,15,16
0x38,RESERVED,RESERVED,0xXXXX,15,16
0x39,RESERVED,RESERVED,0xXXXX,15,16
0x3A,RESERVED,RESERVED,0xXXXX,15,16
0x3B,RESERVED,RESERVED,0xXXXX,15,16
0x3C,RESERVED,RESERVED,0xXXXX,15,16
0x3D,RESERVED,RESERVED,0xXXXX,15,16
0x3E,REGMAP_CRC,REG_CRC,0x0000,15,16
0x3F,RESERVED,RESERVED,0xXXXX,15,16
